drug_id,avg_mass,mono_mass
DB00001,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00002,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00003,382.72026766787496,382.35002966370223
DB00004,382.72026766787496,382.35002966370223
DB00005,382.72026766787496,382.35002966370223
DB00006,2180.2853,2178.985813062
,382.72026766787496,382.35002966370223
DB00007,1209.3983,1208.645462232
DB00008,382.72026766787496,382.35002966370223
DB00009,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00010,382.72026766787496,382.35002966370223
DB00011,382.72026766787496,382.35002966370223
DB00012,382.72026766787496,382.35002966370223
DB00013,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00014,1269.4105,1268.641439486
DB00015,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00016,382.72026766787496,382.35002966370223
DB00017,382.72026766787496,382.35002966370223
DB00018,382.72026766787496,382.35002966370223
DB00019,382.72026766787496,382.35002966370223
DB00020,382.72026766787496,382.35002966370223
DB00022,382.72026766787496,382.35002966370223
DB00023,382.72026766787496,382.35002966370223
DB00024,382.72026766787496,382.35002966370223
DB00025,382.72026766787496,382.35002966370223
DB00026,382.72026766787496,382.35002966370223
DB00027,1811.253,1810.033419343
DB00028,382.72026766787496,382.35002966370223
DB00029,382.72026766787496,382.35002966370223
DB00030,382.72026766787496,382.35002966370223
DB00031,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00032,382.72026766787496,382.35002966370223
DB00033,382.72026766787496,382.35002966370223
DB00034,382.72026766787496,382.35002966370223
DB00035,1069.22,1068.426955905
DB00036,382.72026766787496,382.35002966370223
DB00038,382.72026766787496,382.35002966370223
DB00039,382.72026766787496,382.35002966370223
DB00040,382.72026766787496,382.35002966370223
DB00041,382.72026766787496,382.35002966370223
DB00042,382.72026766787496,382.35002966370223
DB00043,382.72026766787496,382.35002966370223
DB00044,382.72026766787496,382.35002966370223
DB00045,382.72026766787496,382.35002966370223
DB00046,382.72026766787496,382.35002966370223
DB00047,382.72026766787496,382.35002966370223
DB00048,382.72026766787496,382.35002966370223
DB00049,382.72026766787496,382.35002966370223
DB00050,1431.038,1429.669818444
DB00051,382.72026766787496,382.35002966370223
DB00052,382.72026766787496,382.35002966370223
DB00053,382.72026766787496,382.35002966370223
DB00054,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00055,382.72026766787496,382.35002966370223
DB00056,382.72026766787496,382.35002966370223
DB00057,382.72026766787496,382.35002966370223
DB00058,382.72026766787496,382.35002966370223
DB00059,382.72026766787496,382.35002966370223
DB00060,382.72026766787496,382.35002966370223
DB00061,382.72026766787496,382.35002966370223
DB00062,382.72026766787496,382.35002966370223
DB00063,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00065,382.72026766787496,382.35002966370223
DB00066,382.72026766787496,382.35002966370223
DB00067,2140.46,2138.869561874
DB00068,382.72026766787496,382.35002966370223
DB00069,382.72026766787496,382.35002966370223
DB00070,382.72026766787496,382.35002966370223
DB00071,382.72026766787496,382.35002966370223
DB00072,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00073,382.72026766787496,382.35002966370223
DB00074,382.72026766787496,382.35002966370223
DB00075,382.72026766787496,382.35002966370223
DB00076,382.72026766787496,382.35002966370223
DB00078,382.72026766787496,382.35002966370223
DB00080,1620.693,1619.71036644
DB00081,382.72026766787496,382.35002966370223
DB00082,382.72026766787496,382.35002966370223
DB00083,382.72026766787496,382.35002966370223
DB00085,382.72026766787496,382.35002966370223
DB00086,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00087,382.72026766787496,382.35002966370223
DB00088,382.72026766787496,382.35002966370223
DB00089,382.72026766787496,382.35002966370223
DB00090,382.72026766787496,382.35002966370223
DB00091,1202.635,1201.841368058
DB00092,382.72026766787496,382.35002966370223
DB00093,382.72026766787496,382.35002966370223
DB00094,382.72026766787496,382.35002966370223
DB00095,382.72026766787496,382.35002966370223
DB00097,382.72026766787496,382.35002966370223
DB00098,382.72026766787496,382.35002966370223
DB00099,382.72026766787496,382.35002966370223
DB00100,382.72026766787496,382.35002966370223
DB00102,382.72026766787496,382.35002966370223
DB00103,382.72026766787496,382.35002966370223
DB00104,382.72026766787496,382.35002966370223
DB00105,382.72026766787496,382.35002966370223
DB00106,1416.09,1414.6840715
DB00107,382.72026766787496,382.35002966370223
DB00108,382.72026766787496,382.35002966370223
DB00109,382.72026766787496,382.35002966370223
DB00110,382.72026766787496,382.35002966370223
DB00111,382.72026766787496,382.35002966370223
DB00112,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00113,382.72026766787496,382.35002966370223
DB00114,247.1419,247.024573569
DB00114,382.72026766787496,382.35002966370223
DB00119,382.72026766787496,382.35002966370223
DB00125,382.72026766787496,382.35002966370223
DB00128,382.72026766787496,382.35002966370223
DB00129,382.72026766787496,382.35002966370223
DB00130,382.72026766787496,382.35002966370223
DB00131,382.72026766787496,382.35002966370223
DB00142,382.72026766787496,382.35002966370223
DB00155,382.72026766787496,382.35002966370223
DB00157,382.72026766787496,382.35002966370223
DB00160,382.72026766787496,382.35002966370223
DB00171,382.72026766787496,382.35002966370223
DB01373,382.72026766787496,382.35002966370223
DB03904,382.72026766787496,382.35002966370223
DB04160,382.72026766787496,382.35002966370223
DB04299,382.72026766787496,382.35002966370223
DB00116,382.72026766787496,382.35002966370223
DB00118,382.72026766787496,382.35002966370223
DB00133,382.72026766787496,382.35002966370223
DB00134,382.72026766787496,382.35002966370223
DB00145,382.72026766787496,382.35002966370223
DB00148,382.72026766787496,382.35002966370223
DB00151,382.72026766787496,382.35002966370223
DB00855,382.72026766787496,382.35002966370223
DB01378,382.72026766787496,382.35002966370223
DB01593,382.72026766787496,382.35002966370223
DB02083,382.72026766787496,382.35002966370223
DB02751,382.72026766787496,382.35002966370223
DB02951,382.72026766787496,382.35002966370223
DB02957,382.72026766787496,382.35002966370223
DB03147,382.72026766787496,382.35002966370223
DB03587,382.72026766787496,382.35002966370223
DB03843,382.72026766787496,382.35002966370223
DB03915,382.72026766787496,382.35002966370223
DB03929,382.72026766787496,382.35002966370223
DB04343,382.72026766787496,382.35002966370223
DB04522,382.72026766787496,382.35002966370223
DB04553,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00126,382.72026766787496,382.35002966370223
DB00135,382.72026766787496,382.35002966370223
DB00360,382.72026766787496,382.35002966370223
DB00368,382.72026766787496,382.35002966370223
DB00668,382.72026766787496,382.35002966370223
DB00988,382.72026766787496,382.35002966370223
DB01235,382.72026766787496,382.35002966370223
DB01592,382.72026766787496,382.35002966370223
DB01702,382.72026766787496,382.35002966370223
DB01762,382.72026766787496,382.35002966370223
DB01828,382.72026766787496,382.35002966370223
DB02232,382.72026766787496,382.35002966370223
DB03205,382.72026766787496,382.35002966370223
DB07718,382.72026766787496,382.35002966370223
DB08327,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00117,382.72026766787496,382.35002966370223
DB00121,382.72026766787496,382.35002966370223
DB00174,382.72026766787496,382.35002966370223
DB01971,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00161,382.72026766787496,382.35002966370223
DB03107,382.72026766787496,382.35002966370223
DB03688,382.72026766787496,382.35002966370223
DB03766,382.72026766787496,382.35002966370223
DB04183,382.72026766787496,382.35002966370223
DB04524,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00139,382.72026766787496,382.35002966370223
DB00172,382.72026766787496,382.35002966370223
DB00435,382.72026766787496,382.35002966370223
DB02577,382.72026766787496,382.35002966370223
DB02838,382.72026766787496,382.35002966370223
DB03144,382.72026766787496,382.35002966370223
DB03247,382.72026766787496,382.35002966370223
DB04388,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00847,382.72026766787496,382.35002966370223
DB01956,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB02285,382.72026766787496,382.35002966370223
DB03435,382.72026766787496,382.35002966370223
DB04461,382.72026766787496,382.35002966370223
DB07780,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00640,382.72026766787496,382.35002966370223
DB02345,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB04151,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB01861,382.72026766787496,382.35002966370223
DB03323,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00143,382.72026766787496,382.35002966370223
DB01632,382.72026766787496,382.35002966370223
DB01972,382.72026766787496,382.35002966370223
DB02530,382.72026766787496,382.35002966370223
DB03408,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00147,382.72026766787496,382.35002966370223
DB00149,382.72026766787496,382.35002966370223
DB00167,382.72026766787496,382.35002966370223
DB03229,382.72026766787496,382.35002966370223
DB04074,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00122,382.72026766787496,382.35002966370223
DB01345,382.72026766787496,382.35002966370223
DB01917,382.72026766787496,382.35002966370223
DB02238,382.72026766787496,382.35002966370223
DB03566,382.72026766787496,382.35002966370223
DB04193,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00123,382.72026766787496,382.35002966370223
DB04207,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB03381,382.72026766787496,382.35002966370223
DB03945,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00120,382.72026766787496,382.35002966370223
DB03884,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00822,382.72026766787496,382.35002966370223
DB00898,382.72026766787496,382.35002966370223
DB03166,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00583,382.72026766787496,382.35002966370223
,382.72026766787496,382.35002966370223
DB00115,1355.3652,1354.5674053
DB00116,445.4292,445.170981503
DB00116,382.72026766787496,382.35002966370223
DB00173,382.72026766787496,382.35002966370223
DB01700,382.72026766787496,382.35002966370223
DB02134,382.72026766787496,382.35002966370223
DB02377,382.72026766787496,382.35002966370223
DB02527,382.72026766787496,382.35002966370223
DB02857,382.72026766787496,382.35002966370223
DB03101,382.72026766787496,382.35002966370223
DB04076,382.72026766787496,382.35002966370223
DB04335,382.72026766787496,382.35002966370223
DB04457,382.72026766787496,382.35002966370223
DB00116,382.72026766787496,382.35002966370223
DB00114,382.72026766787496,382.35002966370223
DB00116,382.72026766787496,382.35002966370223
