drug1_id,drug2_id,label
DB14513,DB09047,1
DB08899,DB14635,1
DB00432,DB10584,1
DB05941,DB06322,1
DB00854,DB00653,1
DB01355,DB01015,1
DB13954,DB00651,1
DB00837,DB00273,1
DB13241,DB06584,1
DB09262,DB04884,1
DB09091,DB00330,1
DB06288,DB00864,1
DB09216,DB05395,1
DB00657,DB15959,1
DB13683,DB15569,1
DB01363,DB13510,1
DB00533,DB01978,1
DB00612,DB12080,1
DB00515,DB09062,1
DB12978,DB01234,1
DB00814,DB12881,1
DB08736,DB09101,1
DB00749,DB01022,1
DB09342,DB00034,1
DB00556,DB00343,1
DB01472,DB11642,1
DB04846,DB00889,1
DB00588,DB14540,1
DB11372,DB00006,1
DB11871,DB08893,1
DB00744,DB00307,1
DB09210,DB13139,1
DB00248,DB01121,1
DB08986,DB06288,1
DB11699,DB08861,1
DB09205,DB00280,1
DB01129,DB00945,1
DB11512,DB00739,1
DB13468,DB00505,1
DB15349,DB09105,1
DB00296,DB00261,1
DB11800,DB00688,1
DB13139,DB11529,1
DB06589,DB01246,1
DB11892,DB00568,1
DB00660,DB13284,1
DB01410,DB12768,1
DB13312,DB00938,1
DB07615,DB12265,1
DB09082,DB00433,1
DB08897,DB01414,1
DB14512,DB09297,1
DB01628,DB08981,1
DB11803,DB15461,1
DB00206,DB01565,1
DB13174,DB00317,1
DB08808,DB04884,1
DB11633,DB12015,1
DB01563,DB01591,1
DB00274,DB09082,1
DB15233,DB00619,1
DB14877,DB06674,1
DB01226,DB13542,1
DB09187,DB01338,1
DB11502,DB01137,1
DB00804,DB14018,1
DB15428,DB06168,1
DB06413,DB01097,1
DB00111,DB06813,1
DB09344,DB04812,1
DB13385,DB00035,1
DB06603,DB08894,1
DB14575,DB12537,1
DB00244,DB09206,1
DB01158,DB00424,1
DB09027,DB08909,1
DB15442,DB12001,1
DB00203,DB02520,1
DB01620,DB00904,1
DB01012,DB08882,1
DB14050,DB00320,1
DB00658,DB00465,1
DB06695,DB08496,1
DB05562,DB08951,1
DB01173,DB09251,1
DB00887,DB09216,1
DB13759,DB12846,1
DB00424,DB04841,1
DB11095,DB00564,1
DB11397,DB01087,1
DB01001,DB09273,1
DB01075,DB13074,1
DB09488,DB00344,1
DB01095,DB00908,1
DB06731,DB00310,1
DB00713,DB12474,1
DB00886,DB00561,1
DB08870,DB08883,1
DB00057,DB06050,1
DB01087,DB00892,1
DB13923,DB12202,1
DB00743,DB09488,1
DB01233,DB12725,1
DB01030,DB09027,1
DB00072,DB00877,1
DB00042,DB13411,1
DB13496,DB13759,1
DB11618,DB08894,1
DB09244,DB13777,1
DB09037,DB12396,1
DB00468,DB01065,1
DB13720,DB06216,1
DB00802,DB14011,1
DB13929,DB01138,1
DB11598,DB09407,1
DB00412,DB09235,1
DB13954,DB00474,1
DB05550,DB13418,1
DB11823,DB11730,1
DB06796,DB12615,1
DB00757,DB01463,1
DB01388,DB00204,1
DB00577,DB12007,1
DB00801,DB13550,1
DB00193,DB01645,1
DB09281,DB00571,1
DB00648,DB08794,1
DB00237,DB12401,1
DB01069,DB00333,1
DB13695,DB00647,1
DB13145,DB00626,1
DB11951,DB04953,1
DB00884,DB01250,1
DB13345,DB00796,1
DB04833,DB02520,1
DB08934,DB05015,1
DB00430,DB09050,1
DB06292,DB06290,1
DB11390,DB01359,1
DB16222,DB12169,1
DB09247,DB01028,1
DB01268,DB11750,1
DB01171,DB04925,1
DB09292,DB11817,1
DB11412,DB01158,1
DB00738,DB04844,1
DB00294,DB09071,1
DB15022,DB12976,1
DB11582,DB13478,1
DB13981,DB08909,1
DB05095,DB00181,1
DB00421,DB14527,1
DB06616,DB12026,1
DB06678,DB02852,1
DB13377,DB01551,1
DB00295,DB12020,1
DB09085,DB00817,1
DB00721,DB00424,1
DB06725,DB00683,1
DB13510,DB00008,1
DB09254,DB01442,1
DB13694,DB08970,1
DB00728,DB09080,1
DB01396,DB06233,1
DB08904,DB12445,1
DB01294,DB07767,1
DB03404,DB08994,1
DB12781,DB09254,1
DB11614,DB05039,1
DB06190,DB00292,1
DB09039,DB00209,1
DB00624,DB06809,1
DB01192,DB01450,1
DB13954,DB00055,1
DB01094,DB01242,1
DB00843,DB00906,1
DB00476,DB14719,1
DB09407,DB00198,1
DB01189,DB00350,1
DB08822,DB00991,1
DB00751,DB01236,1
DB06684,DB00397,1
DB06168,DB01006,1
DB06616,DB13068,1
DB06788,DB08912,1
DB12001,DB01136,1
DB00621,DB00363,1
DB00441,DB11130,1
DB12725,DB09254,1
DB09195,DB09401,1
DB06736,DB06695,1
DB00825,DB01396,1
DB00001,DB14738,1
DB16611,DB11834,1
DB00450,DB09230,1
DB01303,DB01137,1
DB13720,DB00880,1
DB00972,DB00679,1
DB09257,DB00742,1
DB01050,DB09198,1
DB12080,DB13400,1
DB05271,DB00344,1
DB09250,DB06700,1
DB06512,DB11642,1
DB00195,DB13453,1
DB04845,DB13532,1
DB09014,DB00865,1
DB11621,DB15595,1
DB06282,DB09214,1
DB00486,DB06624,1
DB01435,DB01048,1
DB00661,DB00679,1
DB00572,DB06204,1
DB00627,DB01432,1
DB01364,DB06153,1
DB01324,DB07767,1
DB01445,DB00937,1
DB01050,DB00851,1
DB11121,DB11642,1
DB15982,DB01001,1
DB01403,DB01459,1
DB00297,DB00616,1
DB06817,DB00516,1
DB01215,DB00215,1
DB06804,DB01320,1
DB08961,DB09244,1
DB12713,DB09235,1
DB00737,DB04946,1
DB13371,DB00710,1
DB00105,DB00755,1
DB06230,DB04626,1
DB06738,DB09080,1
DB06697,DB00539,1
DB09183,DB00970,1
DB12989,DB00819,1
DB00105,DB13929,1
DB00500,DB00575,1
DB11412,DB00199,1
DB13266,DB04925,1
DB00555,DB00416,1
DB15569,DB00250,1
DB01238,DB05232,1
DB01114,DB14185,1
DB12268,DB00834,1
DB01590,DB06616,1
DB04960,DB13328,1
